Cloudlet ID,Type,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time,Cloudlet cost,Associtated mappers (opt.)
M_0,MAPPER,SUCCESS,2,100,40,11.2,51.2,1.2
M_1,MAPPER,SUCCESS,2,101,40,11.2,51.2,1.2
M_2,MAPPER,SUCCESS,3,102,40,12.2,52.2,1.2
M_3,MAPPER,SUCCESS,3,103,40,12.2,52.2,1.2
G_0,GENERAL,SUCCESS,2,0,81.4,11.2,92.6,2.44
G_2,GENERAL,SUCCESS,2,2,81.4,11.2,92.6,2.44
G_4,GENERAL,SUCCESS,2,4,81.4,11.2,92.6,2.44
M_4,MAPPER,SUCCESS,2,100,40,51.2,91.2,1.2
G_1,GENERAL,SUCCESS,2,1,81.4,11.2,92.6,2.44
G_3,GENERAL,SUCCESS,2,3,81.4,11.2,92.6,2.44
M_5,MAPPER,SUCCESS,2,101,40,51.2,91.2,1.2
M_8,MAPPER,SUCCESS,3,102,40,52.2,92.2,1.2
M_9,MAPPER,SUCCESS,3,103,40,52.2,92.2,1.2
R_0,REDUCER,SUCCESS,3,102,20,92.2,112.2,0.6,Reducing results of mappers:[0 - 1]
M_6,MAPPER,SUCCESS,2,100,40,91.2,131.2,1.2
M_7,MAPPER,SUCCESS,2,101,40,91.2,131.2,1.2
R_3,REDUCER,SUCCESS,3,102,20,112.2,132.2,0.6,Reducing results of mappers:[8 - 9]
R_1,REDUCER,SUCCESS,2,100,20,131.2,151.2,0.6,Reducing results of mappers:[2 - 3]
R_2,REDUCER,SUCCESS,2,101,20,131.2,151.2,0.6,Reducing results of mappers:[4 - 5]
R_4,REDUCER,SUCCESS,3,103,20,134.2,154.2,0.6,Reducing results of mappers:[6 - 7]
